Nomes do produto,Preço
palavra aleatoria,0.8216043974722758
palavra aleatoria,0.8296160068983667
frase 2,0.6940445580955363
frase 2,0.10514484114553321
frase 2,0.5750564248480813
frase 2,0.7606874381773994
palavra aleatoria,0.10042408615910678
frase 2,0.2597360927685037
frase 2,0.1699129394156584
frase 2,0.5573918817699428
palavra aleatoria,0.2545432268210235
palavra aleatoria,0.04667206060387426
palavra aleatoria,0.05863275094785135
frase 2,0.6860103088110936
palavra aleatoria,0.8772037230288733
palavra aleatoria,0.08235981509445421
frase 2,0.7305870242751088
frase 2,0.7583069014429714
palavra aleatoria,0.6260004584585633
palavra aleatoria,0.5752347131056169
frase 2,0.8090137141822262
palavra aleatoria,0.4113775026878163
palavra aleatoria,0.3693139151264151
frase 2,0.3638072562811807
palavra aleatoria,0.759450008000978
frase 2,0.20353224394158817
palavra aleatoria,0.6018447297686939
palavra aleatoria,0.7445392516491074
palavra aleatoria,0.1314360213684346
palavra aleatoria,0.022412434014699882
frase 2,0.8150915732892939
frase 2,0.7113169461932816
frase 2,0.3141605498644733
frase 2,0.06649246705253072
frase 2,0.45080317717099005
frase 2,0.9305573218418229
frase 2,0.936718512499299
palavra aleatoria,0.8751491582567594
palavra aleatoria,0.5902569407534426
palavra aleatoria,0.8115894437802326
palavra aleatoria,0.09261757824718507
frase 2,0.6104135361469847
palavra aleatoria,0.8592703048314115
frase 2,0.5876605090567397
frase 2,0.4310767583130146
frase 2,0.45461453837416554
palavra aleatoria,0.8597737132323885
palavra aleatoria,0.5001009755782037
frase 2,0.3011565087210196
frase 2,0.16132102379595942
palavra aleatoria,0.9163498225241905
frase 2,0.7951180170963038
palavra aleatoria,0.870198510059077
palavra aleatoria,0.6560606563931637
palavra aleatoria,0.9256964747865163
palavra aleatoria,0.24044288968994276
palavra aleatoria,0.1355915821112112
palavra aleatoria,0.20062124883011376
palavra aleatoria,0.04772939802302854
palavra aleatoria,0.34674655469533044
palavra aleatoria,0.2165663201962826
palavra aleatoria,0.6391588267834557
palavra aleatoria,0.19215274438985136
palavra aleatoria,0.5392747498029719
palavra aleatoria,0.3698397916326356
frase 2,0.32065357325782223
palavra aleatoria,0.44494024694132195
palavra aleatoria,0.14893261998877189
frase 2,0.926917360754979
frase 2,0.4635434526837262
frase 2,0.7770954511010556
frase 2,0.4993828576931202
frase 2,0.07707928325734535
frase 2,0.2050155410438161
palavra aleatoria,0.26590180596944724
frase 2,0.1719030053867248
frase 2,0.8736699517147284
palavra aleatoria,0.8495053556215553
palavra aleatoria,0.3461122168136163
frase 2,0.1447736628412456
palavra aleatoria,0.7203625701320852
palavra aleatoria,0.9508300548012049
frase 2,0.24272249672077406
palavra aleatoria,0.03862254895333916
frase 2,0.34211050235546425
frase 2,0.9648301184438876
frase 2,0.5366424979182486
frase 2,0.6790637491204354
palavra aleatoria,0.32898493348096675
frase 2,0.9008033518998361
palavra aleatoria,0.7172597763036711
palavra aleatoria,0.9697828156644435
frase 2,0.17876697660067756
palavra aleatoria,0.18483215081996637
palavra aleatoria,0.22325104359378017
palavra aleatoria,0.0439562638290708
frase 2,0.6549783195390076
palavra aleatoria,0.4486166782250235
frase 2,0.23758314713289763
frase 2,0.8296405984511482
palavra aleatoria,0.19384931938998792
palavra aleatoria,0.5605413441007143
frase 2,0.8898330358416224
palavra aleatoria,0.4826312148718214
frase 2,0.6811398333794688
palavra aleatoria,0.35358838304878176
palavra aleatoria,0.23693418765221685
frase 2,0.5274159849433654
palavra aleatoria,0.06035881729778193
palavra aleatoria,0.38355285721700993
frase 2,0.2611028826793715
palavra aleatoria,0.16625624207918835
palavra aleatoria,0.8846380698305382
palavra aleatoria,0.9870994050621753
palavra aleatoria,0.10640632704127753
frase 2,0.658745821318967
palavra aleatoria,0.11072968384610547
palavra aleatoria,0.898959995863755
palavra aleatoria,0.48533491720805605
