Nomes do produto,Preço
frase 2,0.6521372804934538
palavra aleatoria,0.5889937628715638
palavra aleatoria,0.570722871754501
palavra aleatoria,0.6450151695242784
palavra aleatoria,0.4848935975533462
frase 2,0.2690897420675347
palavra aleatoria,0.397911939619907
frase 2,0.7573538406498204
palavra aleatoria,0.09956240763580711
palavra aleatoria,0.08016689943758007
frase 2,0.7762641038058137
palavra aleatoria,0.2655965052314553
palavra aleatoria,0.36273622116017096
palavra aleatoria,0.6869189913037764
palavra aleatoria,0.24849828047139186
palavra aleatoria,0.6787498303660054
frase 2,0.8013591347710264
frase 2,0.6973080240972583
frase 2,0.5235698249111753
frase 2,0.5084442178406934
palavra aleatoria,0.6627494597266634
palavra aleatoria,0.4248266736493634
frase 2,0.8415219155631736
frase 2,0.3556640513736154
frase 2,0.8888487785318705
palavra aleatoria,0.9643347397574007
frase 2,0.4753314375401699
frase 2,0.3395151279290745
frase 2,0.6840426081698302
palavra aleatoria,0.6601032976054347
palavra aleatoria,0.5919925762627496
palavra aleatoria,0.354701095765021
frase 2,0.793596393372051
frase 2,0.04007587992510833
frase 2,0.3102206179027554
palavra aleatoria,0.6775906672476703
frase 2,0.08067505599964535
frase 2,0.10508463203704374
frase 2,0.041910895904010516
frase 2,0.3635915672972018
palavra aleatoria,0.6098550849903175
frase 2,0.8169476355518345
frase 2,0.859484627759171
frase 2,0.3787090085321921
frase 2,0.10677231683795517
palavra aleatoria,0.7731583567557667
palavra aleatoria,0.1315644709384837
palavra aleatoria,0.9032445580081683
palavra aleatoria,0.5830939750338076
frase 2,0.8667803468663334
palavra aleatoria,0.2063599326922583
palavra aleatoria,0.20954672661620935
frase 2,0.920348463373703
frase 2,0.1478349503622789
palavra aleatoria,0.6201238936203921
frase 2,0.4267444940966746
frase 2,0.4815268815383622
palavra aleatoria,0.30838702651413424
frase 2,0.6317857502847722
frase 2,0.797181571995038
frase 2,0.7348092071656671
frase 2,0.5133549269483558
frase 2,0.6089704291489705
frase 2,0.704871245950826
frase 2,0.4199859971183649
frase 2,0.9299909537826443
frase 2,0.40860692349589817
frase 2,0.7557703426829915
frase 2,0.4539993628980672
frase 2,0.4863589131187301
frase 2,0.15235760821671565
palavra aleatoria,0.8182672112754326
frase 2,0.7598698080515364
frase 2,0.9379994245313219
palavra aleatoria,0.10164519000038588
palavra aleatoria,0.7158801204773718
palavra aleatoria,0.5764031662154028
palavra aleatoria,0.6718563867383047
frase 2,0.7924957842039048
frase 2,0.17268344696940305
palavra aleatoria,0.20920747728020875
palavra aleatoria,0.6883220379521573
palavra aleatoria,0.7272172890244035
palavra aleatoria,0.7511040197891673
palavra aleatoria,0.5055355182595703
frase 2,0.413340861037099
palavra aleatoria,0.9553796724182524
palavra aleatoria,0.4996905069681156
palavra aleatoria,0.18073001709981815
frase 2,0.17536633550802033
frase 2,0.5543290591211005
palavra aleatoria,0.5476280900192186
palavra aleatoria,0.9625869992569224
palavra aleatoria,0.7307533450487558
palavra aleatoria,0.3492224056836089
frase 2,0.7409837806204186
frase 2,0.1278056574335768
frase 2,0.8098405069415624
palavra aleatoria,0.7622697453859401
palavra aleatoria,0.9237361482596321
frase 2,0.2636468449397554
frase 2,0.5774065605847423
frase 2,0.014317637775640445
frase 2,0.5742635984996453
palavra aleatoria,0.4596396150683898
frase 2,0.16885807325843052
frase 2,0.36407506706004344
palavra aleatoria,0.9423461986122281
frase 2,0.91385932681752
palavra aleatoria,0.662404536034462
palavra aleatoria,0.9892668573169304
frase 2,0.06290666846455384
frase 2,0.2518134808126737
palavra aleatoria,0.9667876190758965
frase 2,0.21028686104014502
palavra aleatoria,0.09699231053415829
palavra aleatoria,0.7497083582747743
frase 2,0.7566031852308809
frase 2,0.8172356850055912
frase 2,0.5349707181531189
frase 2,0.7030455184257347
frase 2,0.6044601420589475
palavra aleatoria,0.2944233084028834
frase 2,0.2037160922885937
palavra aleatoria,0.41059674747446334
palavra aleatoria,0.07193693850354367
frase 2,0.23932976560057484
palavra aleatoria,0.9395298309365168
palavra aleatoria,0.8683911631105272
frase 2,0.9276669484435371
palavra aleatoria,0.15483280355005438
frase 2,0.5895260839627919
frase 2,0.6822767341206339
frase 2,0.742209387067097
palavra aleatoria,0.7847892295992114
palavra aleatoria,0.9832557037842303
palavra aleatoria,0.8029284959907353
palavra aleatoria,0.7796606114209415
frase 2,0.3653810743998038
palavra aleatoria,0.6844696190986005
frase 2,0.8546258023633464
palavra aleatoria,0.48407471860899326
frase 2,0.3196379065820507
palavra aleatoria,0.5003748732527971
frase 2,0.4118335479423777
frase 2,0.06492983764362677
frase 2,0.4911127142492473
palavra aleatoria,0.662247781028688
frase 2,0.44314547287337724
frase 2,0.7392196131744977
frase 2,0.3931875787775044
palavra aleatoria,0.13328774522776696
frase 2,0.2371951616935482
frase 2,0.27577684263121155
palavra aleatoria,0.7192835386060026
palavra aleatoria,0.619472963602894
palavra aleatoria,0.8394134286992767
frase 2,0.9670518875448597
frase 2,0.14429237849912493
palavra aleatoria,0.543620111329913
palavra aleatoria,0.20200883851108137
frase 2,0.6937618365854108
frase 2,0.9480678517368629
frase 2,0.4368211300802982
frase 2,0.2593902712422199
frase 2,0.34046196621620195
palavra aleatoria,0.10040573769311016
frase 2,0.6957594344922012
palavra aleatoria,0.5178866457321586
palavra aleatoria,0.21770907717045293
frase 2,0.29964019863752817
frase 2,0.33600675563786586
palavra aleatoria,0.4589513148372352
frase 2,0.15540281817419513
palavra aleatoria,0.8076759524028984
frase 2,0.46557456618781917
frase 2,0.2251078936259534
palavra aleatoria,0.8511175601820558
frase 2,0.1223155396783721
palavra aleatoria,0.6779626040486841
frase 2,0.5501975509883393
frase 2,0.795753263693537
frase 2,0.2658421683173088
palavra aleatoria,0.5550587441514058
palavra aleatoria,0.6322562149947729
palavra aleatoria,0.7667069987949245
frase 2,0.36798398358309437
palavra aleatoria,0.49818369863250234
frase 2,0.670343735253112
palavra aleatoria,0.44154996696635057
frase 2,0.22227668708254478
frase 2,0.7432317764076779
frase 2,0.975165566260909
frase 2,0.9255806707727502
frase 2,0.3208536302655694
palavra aleatoria,0.3636206052858089
frase 2,0.40370036407436566
frase 2,0.3497709410913029
frase 2,0.2494037183733795
palavra aleatoria,0.22279126472448357
palavra aleatoria,0.6543975978478104
palavra aleatoria,0.17388981770636952
frase 2,0.5360036478672724
frase 2,0.8612850554533619
frase 2,0.5479099956949633
frase 2,0.897849500512826
palavra aleatoria,0.904560914759141
palavra aleatoria,0.3858725722027367
frase 2,0.3592663012627012
frase 2,0.04807381975548462
palavra aleatoria,0.5359498785201994
palavra aleatoria,0.844487152159699
palavra aleatoria,0.2852006266544781
palavra aleatoria,0.04775373330334927
palavra aleatoria,0.5046642901226597
frase 2,0.39967659749030987
palavra aleatoria,0.535822798922805
frase 2,0.7231142023294854
palavra aleatoria,0.3595313268158402
palavra aleatoria,0.5535046725453651
palavra aleatoria,0.9359229720594917
frase 2,0.8691199810252352
frase 2,0.28317783940396024
frase 2,0.16432302122612996
palavra aleatoria,0.07783527203095357
frase 2,0.08384646345300559
frase 2,0.15616107171620347
frase 2,0.1985195827517842
palavra aleatoria,0.0667704270005902
frase 2,0.43327431294965646
palavra aleatoria,0.42417113455695976
palavra aleatoria,0.6245861582884555
palavra aleatoria,0.8916365247257396
frase 2,0.7144175861055532
palavra aleatoria,0.14493671139935013
frase 2,0.9115740324819079
palavra aleatoria,0.7196445771479165
palavra aleatoria,0.03102280439390899
frase 2,0.4959214095260612
frase 2,0.6832759377866
frase 2,0.22902867079912273
frase 2,0.4412626759803661
frase 2,0.9351328879379319
frase 2,0.5557994956830556
palavra aleatoria,0.8231748274274948
frase 2,0.045669577512362114
palavra aleatoria,0.4945151355501593
palavra aleatoria,0.9191583479216735
frase 2,0.7534672522929857
palavra aleatoria,0.09478158039770906
palavra aleatoria,0.06423046364601497
frase 2,0.5867746206849355
palavra aleatoria,0.35212079088812354
frase 2,0.8064221800098748
frase 2,0.1466722038843408
palavra aleatoria,0.10518823394426562
frase 2,0.2260508870538732
frase 2,0.5860753180977333
palavra aleatoria,0.9638606594388699
frase 2,0.518152550139049
frase 2,0.6500516772177822
frase 2,0.042617612867329166
frase 2,0.7125078495571985
frase 2,0.8025739461000524
palavra aleatoria,0.13494502892102828
frase 2,0.8542107467605866
palavra aleatoria,0.3473040876830232
palavra aleatoria,0.2513146915163667
palavra aleatoria,0.24690539784352175
palavra aleatoria,0.7467614441636218
palavra aleatoria,0.9176165245122173
palavra aleatoria,0.3020532576625808
frase 2,0.6370339212473991
frase 2,0.19441605019223013
frase 2,0.637679796135801
